date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-04-20,Africa,NA,NA
2020-04-20,Oceania,NA,NA
2020-04-20,North America,285880.68109386176,23283.27605664421
2020-04-20,South America,1283.5371182757356,102.17210891747149
2020-04-21,Asia,7.508838481701647,0.32669712759452935
2020-04-21,Europe,311.8349895064058,44.336242471031845
2020-04-21,Africa,NA,NA
2020-04-21,Oceania,NA,NA
2020-04-21,North America,285589.4891796037,23650.95616957836
2020-04-21,South America,1369.8074406337475,107.09707168391823
2020-04-22,Asia,7.664790129402432,0.3353268630404226
2020-04-22,Europe,315.0644893467126,43.86958239558521
2020-04-22,Africa,NA,NA
2020-04-22,Oceania,NA,NA
2020-04-22,North America,289091.8435400349,24111.22725985725
2020-04-22,South America,1438.256075692838,112.02203445036498
2020-04-23,Asia,7.7569874050335565,0.33356569254126067
2020-04-23,Europe,317.88212631740174,43.144845157202184
2020-04-23,Africa,NA,NA
2020-04-23,Oceania,NA,NA
2020-04-23,North America,290979.894338934,24610.41339858537
2020-04-23,South America,1431.369475214332,115.82009895669256
2020-04-24,Asia,7.742986099565219,0.3362074482900035
2020-04-24,Europe,316.7914851562253,42.54030824128269
2020-04-24,Africa,NA,NA
2020-04-24,Oceania,NA,NA
2020-04-24,North America,299334.55267151806,24093.782582966214
2020-04-24,South America,1429.3661005296756,118.53300217549797
2020-04-25,Asia,7.790361585992674,0.2248134142180144
2020-04-25,Europe,316.33896629518614,41.64410877820904
2020-04-25,Africa,NA,NA
2020-04-25,Oceania,NA,NA
2020-04-25,North America,302289.4125572152,23616.06681579629
2020-04-25,South America,1961.3872902237154,131.63841157095794
2020-04-26,Asia,7.886785670821787,0.2262223506173439
2020-04-26,Europe,288.0671433910444,36.53382742170824
2020-04-26,Africa,NA,NA
2020-04-26,Oceania,NA,NA
2020-04-26,North America,309004.2712620419,23506.03116156052
2020-04-26,South America,1988.7667442473512,139.73538425477716
2020-04-27,Asia,7.80119278456252,0.22261195109406204
2020-04-27,Europe,287.25225591081374,35.5085893771664
2020-04-27,Africa,NA,NA
2020-04-27,Oceania,NA,NA
2020-04-27,North America,316677.24529765313,23782.46219537233
2020-04-27,South America,2203.795627067128,151.33826263674493
2020-04-28,Asia,7.56510787914987,0.21882543452086398
2020-04-28,Europe,288.7795070668209,34.778549183380576
2020-04-28,Africa,NA,NA
2020-04-28,Oceania,NA,NA
2020-04-28,North America,317099.94323770516,23307.43022464718
2020-04-28,South America,2298.7055027527203,161.98119064898154
2020-04-29,Asia,7.44402740733249,0.21090016727463554
2020-04-29,Europe,287.029531783896,33.92477336352935
2020-04-29,Africa,NA,NA
2020-04-29,Oceania,NA,NA
2020-04-29,North America,313717.0178190665,22640.50680812063
2020-04-29,South America,2474.7937901394903,183.76789034461885
2020-04-30,Asia,7.473527013193451,0.21186881104917454
2020-04-30,Europe,287.4626064751249,33.16291543732671
2020-04-30,Africa,NA,NA
2020-04-30,Oceania,NA,NA
2020-04-30,North America,311606.2119152511,22032.62691337913
2020-04-30,South America,2653.177611019095,200.29573149303334
2020-05-01,Asia,7.473791188768326,0.20852258710076696
2020-05-01,Europe,288.01234618521545,32.12883913378019
2020-05-01,Africa,NA,NA
2020-05-01,Oceania,NA,NA
2020-05-01,North America,307216.8628298218,22522.419764550537
2020-05-01,South America,2870.627238249498,216.94878355923888
2020-05-02,Asia,7.464104751022935,0.2050002461024432
2020-05-02,Europe,289.555506207431,31.14072177705797
2020-05-02,Africa,NA,NA
2020-05-02,Oceania,NA,NA
2020-05-02,North America,304757.16338818567,23069.914239284608
2020-05-02,South America,2676.1329459474487,228.46818799601263
2020-05-03,Asia,7.443058763557951,0.20834647005085077
2020-05-03,Europe,266.5778004470872,26.686239238703763
2020-05-03,Africa,NA,NA
2020-05-03,Oceania,NA,NA
2020-05-03,North America,302591.33965725236,23128.957761069654
2020-05-03,South America,2996.839843382845,251.4652598969631
2020-05-04,Asia,7.581927057416865,0.20993152350009647
2020-05-04,Europe,272.06812694078883,26.06756110837679
2020-05-04,Africa,NA,NA
2020-05-04,Oceania,NA,NA
2020-05-04,North America,296747.37289875513,22848.501032590684
2020-05-04,South America,3032.5249549532855,267.90962710018357
2020-05-05,Asia,7.849184680664681,0.21750455664649257
2020-05-05,Europe,272.4994339802168,25.318076744780683
2020-05-05,Africa,NA,NA
